certification,category id,category,subcategory id,subcategory,max score,version
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAp3,Building-Level Energy Metering (Prerequisite),0,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAp4,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,6,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc2,Optimize Energy Performance,18,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc3,Advanced Energy Metering,1,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc4,Grid Harmonization,2,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc5,Renewable Energy,5,v4.1
Building Design and Construction: Retail,EA,Energy and Atmosphere,EAc6,Enhanced Refrigerant Management,1,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRp1,Storage and Collection of Recyclables (Prerequisite),0,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRc1,Building Life-Cycle Impact Reduction,5,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRc2,Environmental Product Declarations,2,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRc3,Sourcing of Raw Materials,2,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRc4,Material Ingredients,2,v4.1
Building Design and Construction: Retail,MR,Materials and Resources,MRc5,Construction and Demolition Waste Management,2,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQp1,Minimum Indoor Air Quality Performance (Prerequisite),0,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQp2,Environmental Tobacco Smoke Control (Prerequisite),0,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc1,Enhanced Indoor Air Quality Strategies,2,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc2,Low-Emitting Materials,3,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc3,Construction Indoor Air Quality Management Plan,1,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc4,Indoor Air Quality Assessment,2,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc5,Thermal Comfort,1,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc6,Interior Lighting,2,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc7,Daylight,3,v4.1
Building Design and Construction: Retail,IEQ,Indoor Environmental Quality,IEQc8,Quality Views,1,v4.1
Building Design and Construction: Retail,I,Innovation,Ic1,Innovation,5,v4.1
Building Design and Construction: Retail,I,Innovation,Ic2,LEED Accredited Professional,1,v4.1
Building Design and Construction: Retail,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Building Design and Construction: Data Centers,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc1,Sensitive Land Protection,1,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc2,High-Priority Site and Equitable Development,2,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc3,Surrounding Density and Diverse Uses,5,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc4,Access to Quality Transit,5,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc5,Bicycle Facilities,1,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc6,Reduced Parking Footprint,1,v4.1
Building Design and Construction: Data Centers,LT,Location and Transportation,LTc7,Electric Vehicles,1,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSp1,Construction Activity Pollution Prevention (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc1,Site Assessment,1,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc2,Protect or Restore Habitat,2,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc3,Open Space,1,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc4,Rainwater Management,3,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc5,Heat Island Reduction,2,v4.1
Building Design and Construction: Data Centers,SS,Sustainable Sites,SSc6,Light Pollution Reduction,1,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEp1,Outdoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEp2,Indoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEp3,Building-Level Water Metering (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEc1,Outdoor Water Use Reduction,2,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEc3,Indoor Water Use Reduction,6,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEc4,Optimize Process Water Use,2,v4.1
Building Design and Construction: Data Centers,WE,Water Efficiency,WEc5,Water Metering,1,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAp1,Fundamental Commissioning and Verification (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAp3,Building-Level Energy Metering (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAp4,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,6,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc2,Optimize Energy Performance,18,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc3,Advanced Energy Metering,1,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc4,Grid Harmonization,2,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc5,Renewable Energy,5,v4.1
Building Design and Construction: Data Centers,EA,Energy and Atmosphere,EAc6,Enhanced Refrigerant Management,1,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRp1,Storage and Collection of Recyclables (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRc1,Building Life-Cycle Impact Reduction,5,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRc2,Environmental Product Declarations,2,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRc3,Sourcing of Raw Materials,2,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRc4,Material Ingredients,2,v4.1
Building Design and Construction: Data Centers,MR,Materials and Resources,MRc5,Construction and Demolition Waste Management,2,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQp1,Minimum Indoor Air Quality Performance (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQp2,Environmental Tobacco Smoke Control (Prerequisite),0,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc1,Enhanced Indoor Air Quality Strategies,2,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc2,Low-Emitting Materials,3,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc3,Construction Indoor Air Quality Management Plan,1,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc4,Indoor Air Quality Assessment,2,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc5,Thermal Comfort,1,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc6,Interior Lighting,2,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc7,Daylight,3,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc8,Quality Views,1,v4.1
Building Design and Construction: Data Centers,IEQ,Indoor Environmental Quality,IEQc9,Acoustic Performance,1,v4.1
Building Design and Construction: Data Centers,I,Innovation,Ic1,Innovation,5,v4.1
Building Design and Construction: Data Centers,I,Innovation,Ic2,LEED Accredited Professional,1,v4.1
Building Design and Construction: Data Centers,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc1,Sensitive Land Protection,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc2,High-Priority Site and Equitable Development,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc3,Surrounding Density and Diverse Uses,5,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc4,Access to Quality Transit,5,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc5,Bicycle Facilities,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc6,Reduced Parking Footprint,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,LT,Location and Transportation,LTc7,Electric Vehicles,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSp1,Construction Activity Pollution Prevention (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc1,Site Assessment,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc2,Protect or Restore Habitat,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc3,Open Space,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc4,Rainwater Management,3,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc5,Heat Island Reduction,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,SS,Sustainable Sites,SSc6,Light Pollution Reduction,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEp1,Outdoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEp2,Indoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEp3,Building-Level Water Metering (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEc1,Outdoor Water Use Reduction,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEc3,Indoor Water Use Reduction,6,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEc4,Optimize Process Water Use,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,WE,Water Efficiency,WEc5,Water Metering,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAp1,Fundamental Commissioning and Verification (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAp3,Building-Level Energy Metering (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAp4,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,6,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc2,Optimize Energy Performance,18,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc3,Advanced Energy Metering,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc4,Grid Harmonization,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc5,Renewable Energy,5,v4.1
Building Design and Construction: Warehouses and Distribution Centers,EA,Energy and Atmosphere,EAc6,Enhanced Refrigerant Management,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRp1,Storage and Collection of Recyclables (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRc1,Building Life-Cycle Impact Reduction,5,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRc2,Environmental Product Declarations,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRc3,Sourcing of Raw Materials,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRc4,Material Ingredients,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,MR,Materials and Resources,MRc5,Construction and Demolition Waste Management,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQp1,Minimum Indoor Air Quality Performance (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQp2,Environmental Tobacco Smoke Control (Prerequisite),0,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc1,Enhanced Indoor Air Quality Strategies,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc2,Low-Emitting Materials,3,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc3,Construction Indoor Air Quality Management Plan,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc4,Indoor Air Quality Assessment,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc5,Thermal Comfort,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc6,Interior Lighting,2,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc7,Daylight,3,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc8,Quality Views,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,IEQ,Indoor Environmental Quality,IEQc9,Acoustic Performance,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,I,Innovation,Ic1,Innovation,5,v4.1
Building Design and Construction: Warehouses and Distribution Centers,I,Innovation,Ic2,LEED Accredited Professional,1,v4.1
Building Design and Construction: Warehouses and Distribution Centers,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Building Design and Construction: Hospitality,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc1,Sensitive Land Protection,1,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc2,High-Priority Site and Equitable Development,2,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc3,Surrounding Density and Diverse Uses,5,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc4,Access to Quality Transit,5,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc5,Bicycle Facilities,1,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc6,Reduced Parking Footprint,1,v4.1
Building Design and Construction: Hospitality,LT,Location and Transportation,LTc7,Electric Vehicles,1,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSp1,Construction Activity Pollution Prevention (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc1,Site Assessment,1,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc2,Protect or Restore Habitat,2,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc3,Open Space,1,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc4,Rainwater Management,3,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc5,Heat Island Reduction,2,v4.1
Building Design and Construction: Hospitality,SS,Sustainable Sites,SSc6,Light Pollution Reduction,1,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEp1,Outdoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEp2,Indoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEp3,Building-Level Water Metering (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEc1,Outdoor Water Use Reduction,2,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEc3,Indoor Water Use Reduction,6,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEc4,Optimize Process Water Use,2,v4.1
Building Design and Construction: Hospitality,WE,Water Efficiency,WEc5,Water Metering,1,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAp1,Fundamental Commissioning and Verification (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAp3,Building-Level Energy Metering (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAp4,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,6,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc2,Optimize Energy Performance,18,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc3,Advanced Energy Metering,1,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc4,Grid Harmonization,2,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc5,Renewable Energy,5,v4.1
Building Design and Construction: Hospitality,EA,Energy and Atmosphere,EAc6,Enhanced Refrigerant Management,1,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRp1,Storage and Collection of Recyclables (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRc1,Building Life-Cycle Impact Reduction,5,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRc2,Environmental Product Declarations,2,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRc3,Sourcing of Raw Materials,2,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRc4,Material Ingredients,2,v4.1
Building Design and Construction: Hospitality,MR,Materials and Resources,MRc5,Construction and Demolition Waste Management,2,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQp1,Minimum Indoor Air Quality Performance (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQp2,Environmental Tobacco Smoke Control (Prerequisite),0,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc1,Enhanced Indoor Air Quality Strategies,2,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc2,Low-Emitting Materials,3,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc3,Construction Indoor Air Quality Management Plan,1,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc4,Indoor Air Quality Assessment,2,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc5,Thermal Comfort,1,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc6,Interior Lighting,2,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc7,Daylight,3,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc8,Quality Views,1,v4.1
Building Design and Construction: Hospitality,IEQ,Indoor Environmental Quality,IEQc9,Acoustic Performance,1,v4.1
Building Design and Construction: Hospitality,I,Innovation,Ic1,Innovation,5,v4.1
Building Design and Construction: Hospitality,I,Innovation,Ic2,LEED Accredited Professional,1,v4.1
Building Design and Construction: Hospitality,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Building Design and Construction: Healthcare,IP,Integrative Process,IPp1,Integrative Project Planning and Design (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc1,Sensitive Land Protection,1,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc2,High-Priority Site and Equitable Development,2,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc3,Surrounding Density and Diverse Uses,1,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc4,Access to Quality Transit,2,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc5,Bicycle Facilities,1,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc6,Reduced Parking Footprint,1,v4.1
Building Design and Construction: Healthcare,LT,Location and Transportation,LTc7,Electric Vehicles,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSp1,Construction Activity Pollution Prevention (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSp2,Environmental Site Assessment (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc1,Site Assessment,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc2,Protect or Restore Habitat,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc3,Open Space,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc4,Rainwater Management,2,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc5,Heat Island Reduction,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc6,Light Pollution Reduction,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc7,Places of Respite,1,v4.1
Building Design and Construction: Healthcare,SS,Sustainable Sites,SSc8,Direct Exterior Access,1,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEp1,Outdoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEp2,Indoor Water Use Reduction (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEp3,Building-Level Water Metering (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEc1,Outdoor Water Use Reduction,1,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEc3,Indoor Water Use Reduction,7,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEc4,Optimize Process Water Use,2,v4.1
Building Design and Construction: Healthcare,WE,Water Efficiency,WEc5,Water Metering,1,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAp1,Fundamental Commissioning and Verification (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAp3,Building-Level Energy Metering (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAp4,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,6,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc2,Optimize Energy Performance,20,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc3,Advanced Energy Metering,1,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc4,Grid Harmonization,2,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc5,Renewable Energy,5,v4.1
Building Design and Construction: Healthcare,EA,Energy and Atmosphere,EAc6,Enhanced Refrigerant Management,1,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRp1,Storage and Collection of Recyclables (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRp2,PBT Source Reduction – Mercury (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc1,Building Life-Cycle Impact Reduction,5,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc2,Environmental Product Declarations,2,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc3,Sourcing of Raw Materials,2,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc4,Material Ingredients,2,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc5,PBT Source Reduction – Mercury,1,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc6,"PBT Source Reduction – Lead, Cadmium,  and Copper",2,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc7,Furniture and Medical Furnishings,2,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc8,Design for Flexibility,1,v4.1
Building Design and Construction: Healthcare,MR,Materials and Resources,MRc9,Construction and Demolition Waste Management,2,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQp1,Minimum Indoor Air Quality Performance (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQp2,Environmental Tobacco Smoke Control (Prerequisite),0,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc1,Enhanced Indoor Air Quality Strategies,2,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc2,Low-Emitting Materials,3,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc3,Construction Indoor Air Quality Management Plan,1,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc4,Indoor Air Quality Assessment,2,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc5,Thermal Comfort,1,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc6,Interior Lighting,1,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc7,Daylight,2,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc8,Quality Views,2,v4.1
Building Design and Construction: Healthcare,IEQ,Indoor Environmental Quality,IEQc9,Acoustic Performance,2,v4.1
Building Design and Construction: Healthcare,I,Innovation,Ic1,Innovation,5,v4.1
Building Design and Construction: Healthcare,I,Innovation,Ic2,LEED Accredited Professional,1,v4.1
Building Design and Construction: Healthcare,RP,Regional Priority,RPc1,Regional Priority,4,v4.1
Interior Design and Construction: New Construction,IP,Integrative Process,IPc1,Integrative Process,1,v4.1
Interior Design and Construction: New Construction,LT,Location and Transportation,LTc1,Surrounding Density and Diverse Uses,8,v4.1
Interior Design and Construction: New Construction,LT,Location and Transportation,LTc2,Access to Quality Transit,7,v4.1
Interior Design and Construction: New Construction,LT,Location and Transportation,LTc3,Bicycle Facilities,1,v4.1
Interior Design and Construction: New Construction,LT,Location and Transportation,LTc4,Reduced Parking Footprint,2,v4.1
Interior Design and Construction: New Construction,WE,Water Efficiency,WEp1,Indoor Water Use Reduction (Prerequisite),0,v4.1
Interior Design and Construction: New Construction,WE,Water Efficiency,WEc1,Indoor Water Use Reduction,12,v4.1
Interior Design and Construction: New Construction,EA,Energy and Atmosphere,EAp1,Fundamental Commissioning and Verification (Prerequisite),0,v4.1
Interior Design and Construction: New Construction,EA,Energy and Atmosphere,EAp2,Minimum Energy Performance (Prerequisite),0,v4.1
Interior Design and Construction: New Construction,EA,Energy and Atmosphere,EAp3,Fundamental Refrigerant Management (Prerequisite),0,v4.1
Interior Design and Construction: New Construction,EA,Energy and Atmosphere,EAc1,Enhanced Commissioning,5,v4.1
